"Price","BuildingArea","Suburb","Car","YearBuilt","Distance","HighPrice","HighPriceFactor"
1400000,126,"Hawthorn",1,1890,4.6,1,"High price"
370000,44,"Hawthorn",1,2014,4.6,0,"Low price"
627500,89,"Hawthorn",2,2000,4.6,0,"Low price"
1652000,196.8,"Brunswick",2,1921,5.2,1,"High price"
735000,77,"Brunswick",2,1970,5.2,0,"Low price"
1210000,112,"Brunswick",0,1900,5.2,1,"High price"
528000,58,"Brunswick",1,2010,5.2,0,"Low price"
1115000,116,"Brunswick",1,1925,5.2,1,"High price"
320000,48,"Brunswick",1,1970,5.2,0,"Low price"
1260000,120,"Brunswick",1,1910,5.2,1,"High price"
1210000,200,"Brunswick",1,2009,5.2,1,"High price"
1385000,173.45,"Brunswick",4,1950,5.2,1,"High price"
981000,140,"Brunswick",1,2012,5.2,1,"High price"
418000,51,"Brunswick",1,1970,5.2,0,"Low price"
585000,258,"Brunswick",1,2006,5.2,0,"Low price"
1900000,212,"Brunswick",2,2012,5.2,1,"High price"
884000,75,"Brunswick",0,1890,5.2,0,"Low price"
480000,57,"Brunswick",1,1960,5.2,0,"Low price"
1700000,132,"Hawthorn",2,1910,4.6,1,"High price"
440000,51,"Hawthorn",1,1960,4.6,0,"Low price"
535000,50,"Hawthorn",1,2006,4.6,0,"Low price"
635000,78,"Hawthorn",1,1960,4.6,0,"Low price"
317500,55,"Hawthorn",0,1957,4.6,0,"Low price"
360000,77.5,"Hawthorn",1,1965,4.6,0,"Low price"
1800000,106,"Hawthorn",0,1900,4.6,1,"High price"
275000,30,"Hawthorn",0,1970,4.6,0,"Low price"
1525000,134,"Hawthorn",0,1905,4.6,1,"High price"
560000,82.3,"Hawthorn",0,1960,4.6,0,"Low price"
665000,236,"Craigieburn",2,2007,20.6,0,"Low price"
515500,117,"Craigieburn",4,1990,20.6,0,"Low price"
660000,225.5,"Craigieburn",3,2014,20.6,0,"Low price"
1e+06,90,"Hawthorn",1,1940,5.3,1,"High price"
2900000,156,"Hawthorn",3,1890,5.3,1,"High price"
450000,71,"Hawthorn",1,1965,5.3,0,"Low price"
1435000,108,"Brunswick",0,1890,5.2,1,"High price"
1315000,106,"Brunswick",1,1910,5.2,1,"High price"
7e+05,112,"Brunswick",1,2007,5.2,0,"Low price"
920000,109,"Brunswick",1,1995,5.2,1,"High price"
765000,88,"Brunswick",1,2007,5.2,0,"Low price"
1400000,177,"Brunswick",2,1900,5.2,1,"High price"
667000,214,"Craigieburn",2,2012,20.6,0,"Low price"
690000,95.88,"Hawthorn",1,1965,5.3,0,"Low price"
1022000,104,"Hawthorn",1,1930,5.3,1,"High price"
5510000,300,"Hawthorn",5,1971,5.3,1,"High price"
3335000,276,"Hawthorn",2,1890,5.3,1,"High price"
560000,47,"Hawthorn",1,1970,5.3,0,"Low price"
805000,84,"Hawthorn",1,1965,5.3,0,"Low price"
510000,64,"Brunswick",0,2009,5.2,0,"Low price"
1925000,182,"Brunswick",4,1925,5.2,1,"High price"
890000,78,"Brunswick",0,1910,5.2,0,"Low price"
1500000,100,"Brunswick",1,1908,5.2,1,"High price"
6e+05,196.1,"Craigieburn",2,2007,20.6,0,"Low price"
7650000,284,"Hawthorn",4,1863,5.3,1,"High price"
375000,53,"Hawthorn",1,1970,5.3,0,"Low price"
1080000,136,"Hawthorn",2,2000,5.3,1,"High price"
1275000,156,"Brunswick",1,1900,5.2,1,"High price"
1204000,101,"Brunswick",0,1890,5.2,1,"High price"
492000,166,"Craigieburn",2,2009,20.6,0,"Low price"
425000,165,"Craigieburn",2,2008,20.6,0,"Low price"
2370000,188,"Hawthorn",1,1890,5.3,1,"High price"
1682000,97,"Hawthorn",1,1910,5.3,1,"High price"
860000,106,"Brunswick",1,1890,5.2,0,"Low price"
2545000,320,"Brunswick",4,1995,5.2,1,"High price"
1405000,167,"Brunswick",2,1920,5.2,1,"High price"
460000,52,"Brunswick",1,1970,5.2,0,"Low price"
499000,158,"Craigieburn",0,1990,20.6,0,"Low price"
506000,202,"Craigieburn",2,1997,20.6,0,"Low price"
430000,127,"Craigieburn",1,2010,20.6,0,"Low price"
420000,175,"Craigieburn",2,2010,20.6,0,"Low price"
2800000,192,"Hawthorn",2,1910,5.3,1,"High price"
1702000,110,"Hawthorn",2,1900,5.3,1,"High price"
3399000,274,"Hawthorn",2,2002,5.3,1,"High price"
1515000,194,"Brunswick",2,1890,5.2,1,"High price"
1037000,101,"Brunswick",1,1996,5.2,1,"High price"
455000,49,"Hawthorn",1,1960,5.3,0,"Low price"
1310000,91,"Brunswick",1,1910,5.2,1,"High price"
565000,207,"Craigieburn",2,2012,20.6,0,"Low price"
615000,222,"Craigieburn",2,2001,20.6,0,"Low price"
548000,171,"Craigieburn",2,2010,20.6,0,"Low price"
716000,160,"Craigieburn",6,1995,20.6,0,"Low price"
420000,47,"Hawthorn",1,2004,5.3,0,"Low price"
1857000,116.65,"Hawthorn",1,1890,5.3,1,"High price"
1425000,108,"Hawthorn",1,1930,5.3,1,"High price"
1910000,165,"Hawthorn",2,1990,5.3,1,"High price"
1485000,139,"Hawthorn",2,1975,5.3,1,"High price"
1350000,184,"Brunswick",1,1920,5.2,1,"High price"
310000,114,"Craigieburn",1,2013,20.6,0,"Low price"
1150000,119,"Hawthorn",1,2000,5.3,1,"High price"
1100000,109.5,"Hawthorn",1,1999,5.3,1,"High price"
1120000,107,"Brunswick",1,1920,5.2,1,"High price"
1110000,101,"Brunswick",0,1922,5.2,1,"High price"
1790000,238,"Brunswick",6,1950,5.2,1,"High price"
607500,185,"Craigieburn",2,1999,20.6,0,"Low price"
5e+05,150,"Craigieburn",2,2008,20.6,0,"Low price"
510000,161,"Craigieburn",2,2014,20.6,0,"Low price"
592500,188,"Craigieburn",2,2011,20.6,0,"Low price"
650000,70,"Brunswick",1,1970,5.2,0,"Low price"
510000,83,"Craigieburn",1,2014,20.6,0,"Low price"
590000,200.71,"Craigieburn",2,2007,20.6,0,"Low price"
390000,109,"Craigieburn",1,2001,20.6,0,"Low price"
8e+05,90,"Brunswick",0,1890,5.2,0,"Low price"
560000,195,"Craigieburn",1,1985,20.6,0,"Low price"
497500,154,"Craigieburn",2,2010,20.6,0,"Low price"
1250000,130,"Hawthorn",2,1965,5.3,1,"High price"
595000,110,"Craigieburn",0,1990,20.6,0,"Low price"
630000,74,"Hawthorn",1,2013,5.3,0,"Low price"
911000,77,"Brunswick",1,1905,5.2,1,"High price"
1030000,133,"Brunswick",1,1880,5.2,1,"High price"
377000,42,"Brunswick",1,1970,5.2,0,"Low price"
495000,61,"Brunswick",1,1970,5.2,0,"Low price"
1820000,288,"Brunswick",2,2017,5.2,1,"High price"
492000,184,"Craigieburn",2,2009,20.6,0,"Low price"
2325000,227,"Hawthorn",2,1920,5.3,1,"High price"
2200000,857,"Hawthorn",2,1930,5.3,1,"High price"
1450000,104,"Hawthorn",0,1890,5.3,1,"High price"
1315000,140,"Brunswick",2,2016,5.2,1,"High price"
695000,90,"Brunswick",1,2015,5.2,0,"Low price"
582500,132,"Craigieburn",0,1972,20.6,0,"Low price"
480000,148,"Craigieburn",2,2015,20.6,0,"Low price"
523000,159,"Craigieburn",2,2009,20.6,0,"Low price"
485000,150,"Craigieburn",1,2013,20.6,0,"Low price"
2300000,265,"Hawthorn",1,1890,5.3,1,"High price"
495000,61,"Brunswick",1,1970,5.2,0,"Low price"
1325000,120,"Brunswick",1,1920,5.2,1,"High price"
1630000,174,"Brunswick",1,1880,5.2,1,"High price"
605000,74,"Brunswick",1,1970,5.2,0,"Low price"
1770000,187,"Brunswick",3,1930,5.2,1,"High price"
735000,255,"Craigieburn",2,2006,20.6,0,"Low price"
517000,120,"Craigieburn",2,1980,20.6,0,"Low price"
6e+05,177,"Craigieburn",2,2003,20.6,0,"Low price"
475000,146,"Craigieburn",1,2011,20.6,0,"Low price"
552000,143,"Craigieburn",2,2010,20.6,0,"Low price"
609000,69,"Hawthorn",1,1975,5.3,0,"Low price"
1750000,103,"Brunswick",0,1920,5.2,1,"High price"
350000,41,"Brunswick",1,1900,5.2,0,"Low price"
412500,0,"Craigieburn",1,2012,20.6,0,"Low price"
581000,78,"Hawthorn",1,2000,5.3,0,"Low price"
1110000,100,"Brunswick",1,1900,5.2,1,"High price"
625000,200,"Craigieburn",2,1994,20.6,0,"Low price"
520000,140,"Craigieburn",2,2013,20.6,0,"Low price"
434000,116,"Craigieburn",1,2011,20.6,0,"Low price"
515000,131,"Craigieburn",1,2009,20.6,0,"Low price"
530000,140,"Craigieburn",2,1980,20.6,0,"Low price"
590000,0,"Craigieburn",2,2009,20.6,0,"Low price"
715000,237,"Craigieburn",2,2010,20.6,0,"Low price"
3220000,291,"Hawthorn",4,1930,5.3,1,"High price"
1150000,176,"Brunswick",1,1920,5.2,1,"High price"
462000,117,"Craigieburn",1,2005,20.6,0,"Low price"
473000,149,"Craigieburn",1,2011,20.6,0,"Low price"
720000,201,"Craigieburn",2,2006,20.6,0,"Low price"
513000,133,"Craigieburn",2,2012,20.6,0,"Low price"
568000,136,"Craigieburn",2,2009,20.6,0,"Low price"
2800000,272,"Hawthorn",1,1900,5.3,1,"High price"
1530000,181,"Brunswick",2,1915,5.2,1,"High price"
1075000,98,"Brunswick",1,1910,5.2,1,"High price"
642500,186,"Craigieburn",5,1990,20.6,0,"Low price"
555000,167,"Craigieburn",2,2004,20.6,0,"Low price"
615000,119,"Craigieburn",1,1985,20.6,0,"Low price"
2020000,192,"Brunswick",1,1900,5.2,1,"High price"
1150000,117,"Brunswick",1,1900,5.2,1,"High price"
1200000,44,"Brunswick",1,2014,5.2,1,"High price"
894000,73,"Brunswick",0,1900,5.2,0,"Low price"
655000,219,"Craigieburn",2,2015,20.6,0,"Low price"
435000,97,"Craigieburn",1,2010,20.6,0,"Low price"
620000,183,"Craigieburn",2,2013,20.6,0,"Low price"
450500,150,"Craigieburn",2,2010,20.6,0,"Low price"
6e+05,213,"Craigieburn",2,2009,20.6,0,"Low price"
580000,168,"Craigieburn",2,2011,20.6,0,"Low price"
750000,264,"Craigieburn",2,2011,20.6,0,"Low price"
502000,144,"Hawthorn",2,1995,5.3,0,"Low price"
2750000,218,"Hawthorn",1,1910,5.3,1,"High price"
595000,153,"Craigieburn",2,2009,20.6,0,"Low price"
630000,196,"Craigieburn",2,2014,20.6,0,"Low price"
540000,0,"Craigieburn",1,1995,20.6,0,"Low price"
530000,171,"Craigieburn",2,2017,20.6,0,"Low price"
570000,107,"Craigieburn",2,1975,20.6,0,"Low price"
528000,110,"Craigieburn",1,1985,20.6,0,"Low price"
648000,200,"Craigieburn",2,2010,20.6,0,"Low price"
741000,267,"Craigieburn",2,2010,20.6,0,"Low price"
1470000,161,"Brunswick",1,1925,5.2,1,"High price"
6e+05,131,"Craigieburn",2,1980,20.6,0,"Low price"
468000,112,"Craigieburn",1,2008,20.6,0,"Low price"
616000,179,"Craigieburn",2,2010,20.6,0,"Low price"
583000,144,"Craigieburn",2,2011,20.6,0,"Low price"
470000,130,"Craigieburn",1,2015,20.6,0,"Low price"
615000,144,"Craigieburn",3,1970,20.6,0,"Low price"
1011000,75,"Brunswick",1,1900,5.2,1,"High price"
1150000,124,"Brunswick",2,1920,5.2,1,"High price"
970000,113,"Brunswick",0,1910,5.2,1,"High price"
1665000,223,"Brunswick",2,2014,5.2,1,"High price"
380000,98,"Craigieburn",1,2015,20.6,0,"Low price"
630000,240,"Craigieburn",2,2012,20.6,0,"Low price"
556000,158,"Craigieburn",2,2010,20.6,0,"Low price"
634000,209,"Craigieburn",2,2007,20.6,0,"Low price"
515000,129,"Craigieburn",1,1980,20.6,0,"Low price"
610000,185,"Craigieburn",2,1990,20.6,0,"Low price"
565100,172,"Craigieburn",2,2016,20.6,0,"Low price"
516000,138,"Craigieburn",1,2012,20.6,0,"Low price"
1660000,133,"Hawthorn",1,1890,5.3,1,"High price"
560000,170,"Craigieburn",2,2013,20.6,0,"Low price"
511500,125,"Craigieburn",2,1970,20.6,0,"Low price"
710500,243,"Craigieburn",2,2014,20.6,0,"Low price"
1005000,68,"Brunswick",1,1890,5.2,1,"High price"
620000,200,"Craigieburn",1,1980,20.6,0,"Low price"
520000,104,"Craigieburn",0,1985,20.6,0,"Low price"
385000,153,"Craigieburn",2,2010,20.6,0,"Low price"
761000,216,"Craigieburn",2,2009,20.6,0,"Low price"
1500000,0,"Brunswick",1,1940,5.2,1,"High price"
1160000,103,"Brunswick",1,1910,5.2,1,"High price"
1661000,156,"Brunswick",1,1920,5.2,1,"High price"
530000,163,"Craigieburn",2,2013,20.6,0,"Low price"
540000,167,"Craigieburn",2,1990,20.6,0,"Low price"
619500,176,"Craigieburn",2,2014,20.6,0,"Low price"
2350000,240,"Hawthorn",3,1890,5.3,1,"High price"
1320000,133,"Brunswick",0,1920,5.2,1,"High price"
660000,220,"Craigieburn",2,2013,20.6,0,"Low price"
455000,106,"Craigieburn",1,2013,20.6,0,"Low price"
583000,170,"Craigieburn",4,1992,20.6,0,"Low price"
613500,189,"Craigieburn",2,2005,20.6,0,"Low price"
740000,245,"Craigieburn",2,2017,20.6,0,"Low price"
7e+05,229,"Craigieburn",2,2010,20.6,0,"Low price"
562500,121,"Craigieburn",2,1991,20.6,0,"Low price"
1585000,425,"Brunswick",1,1915,5.2,1,"High price"
515000,155,"Craigieburn",2,2014,20.6,0,"Low price"
525000,178,"Craigieburn",2,2004,20.6,0,"Low price"
562750,126,"Craigieburn",4,1987,20.6,0,"Low price"
495000,121,"Craigieburn",2,1980,20.6,0,"Low price"
655000,155,"Craigieburn",2,1980,20.6,0,"Low price"
535000,205,"Craigieburn",2,2003,20.6,0,"Low price"
1600000,98,"Hawthorn",1,1910,5.3,1,"High price"
1520000,165,"Brunswick",1,1890,5.2,1,"High price"
955000,103,"Brunswick",1,1900,5.2,1,"High price"
1450000,134,"Brunswick",1,1916,5.2,1,"High price"
1105000,162,"Brunswick",1,2005,5.2,1,"High price"
695000,232,"Craigieburn",2,2015,20.6,0,"Low price"
770000,405,"Craigieburn",2,2016,20.6,0,"Low price"
540000,130,"Craigieburn",1,2001,20.6,0,"Low price"
590000,166,"Craigieburn",2,2011,20.6,0,"Low price"
3500000,294,"Hawthorn",2,1910,5.3,1,"High price"
1150000,107,"Brunswick",2,1890,5.2,1,"High price"
1035500,116,"Brunswick",0,1900,5.2,1,"High price"
984000,115,"Brunswick",2,1910,5.2,1,"High price"
715000,237,"Craigieburn",2,2014,20.6,0,"Low price"
455000,110,"Craigieburn",2,2015,20.6,0,"Low price"
594000,183,"Craigieburn",2,2011,20.6,0,"Low price"
520000,142,"Craigieburn",2,2010,20.6,0,"Low price"
472000,131,"Craigieburn",1,2016,20.6,0,"Low price"
515000,138,"Craigieburn",2,2008,20.6,0,"Low price"
583000,162,"Craigieburn",2,2016,20.6,0,"Low price"
4630000,160,"Hawthorn",2,2013,5.3,1,"High price"
1660000,110,"Hawthorn",1,1890,5.3,1,"High price"
